"Time","ZW","ZZ","MZ","MM","MW","RW","RZ","MR","RR"
0,0,250,0,0,0,0,0,0,0
30,0,250.000322400697,0,0,0,0,0,0,0
60,0,250.000090984018,0,0,0,0,0,0,0
90,0,250.000018876751,0,0,0,0,0,0,0
120,0,220.433183653484,12.6438080476894,74.8852495294023,0,0,0,0,0
150,0,155.52116590791,57.6162202205377,114.900886136573,0,0,0,0,0
180,0,101.967534018375,78.0951202617923,167.52138187784,0,0,0,0,0
210,0,60.1508009191015,80.9424157008787,230.750671666138,0,0,0,0,0
240,0,30.3088252773176,69.5043564871338,298.053404093005,0,0,0,0,0
270,0,12.4321447525991,48.947409674948,358.096155814899,0,0,0,0,0
300,0,3.97398291304713,27.4514378162204,399.497021937369,0,0,0,0,0
330,0,0.945619373102709,11.7415478885985,418.46350255575,0,0,0,0,0
360,0,0.159943783042362,3.60553512416154,421.174883091218,0,0,0,0,0
390,0,0.01928632089571,0.758409682442874,418.217545292107,0,0,0,0,0
420,0,0.00236061837427468,0.176264635147293,284.045538978618,0,0,0,0,0
450,0,0.000441732672656724,0.0803937504743619,82.7068838487979,0,0,0,0,0
480,0,5.99664281866988e-05,0.0235510324688157,14.4189934518317,0,0,0,0,0
510,0,6.73739913004427e-06,0.00407366630566634,2.31255080623658,0,0,0,0,0
540,0,7.1401533690462e-07,0.00054471104168923,0.345092411629954,0,0,0,0,0
570,0,7.26378206224794e-08,6.43789906906034e-05,0.0464645815781593,0,0,0,0,0
600,0,7.0883348125392e-09,7.07118695594403e-06,0.00573821745704801,0,0,0,0,0
630,0,6.64901658586079e-10,7.35923555555507e-07,0.000662859445018701,0,0,0,0,0
660,0,6.01948981251771e-11,7.32661296191011e-08,7.25760947890974e-05,0,0,0,0,0
690,0,5.2817746409395e-12,7.02110219473816e-09,7.59653047078836e-06,0,0,0,0,0
720,0,4.5086244517773e-13,6.50753361966894e-10,7.64732104710168e-07,0,0,0,0,0
750,0,3.75610937417797e-14,5.85650028601506e-11,7.43865863195911e-08,0,0,0,0,0
780,0,3.06222307039128e-15,5.13448229697323e-12,7.01807481277002e-09,0,0,0,0,0
810,0,2.44872439694e-16,4.39745211314566e-13,6.44266794143144e-10,0,0,0,0,0
840,0,1.92444275139609e-17,3.68795472957438e-14,5.77064986317839e-11,0,0,0,0,0
870,0,1.48892311315882e-18,3.0348748120895e-15,5.05499842569565e-12,0,0,0,0,0
900,0,1.13575438662975e-19,2.4549296779903e-16,4.33958137843492e-13,0,0,0,0,0
930,0,8.55268390682555e-21,1.95503280609803e-17,3.6575213248292e-14,0,0,0,0,0
960,0,6.36529081587774e-22,1.53488717990188e-18,3.03127608303583e-15,0,0,0,0,0
990,0,4.68667986761891e-23,1.18939678610342e-19,2.47383518647076e-16,0,0,0,0,0
1020,0,3.41685751650537e-24,9.10679571181423e-21,1.99049431982046e-17,0,0,0,0,0
1050,0,2.46855819031473e-25,6.89608032465566e-22,1.58079344028395e-18,0,0,0,0,0
1080,0,1.76855325453495e-26,5.16894692442719e-23,1.24034145945498e-19,0,0,0,0,0
1110,0,1.25725243077567e-27,3.83788343870066e-24,9.623718612014e-21,0,0,0,0,0
1140,0,8.87359962733126e-29,2.82465276368013e-25,7.38966899133116e-22,0,0,0,0,0
1170,0,6.22113034927441e-30,2.06198981634574e-26,5.61951112373328e-23,0,0,0,0,0
1200,0,4.33439741943853e-31,1.4938096023601e-27,4.23491735933197e-24,0,0,0,0,0
1230,0,3.00232175585137e-32,1.07450386013162e-28,3.16460432730446e-25,0,0,0,0,0
1260,0,2.06831858088003e-33,7.67753250765242e-30,2.34614079910654e-26,0,0,0,0,0
1290,0,1.41761191030723e-34,5.45149649236697e-31,1.72647587598934e-27,0,0,0,0,0
1320,0,9.6696791612183e-36,3.84816852461344e-32,1.26163037148711e-28,0,0,0,0,0
1350,0,6.56606399302591e-37,2.70138651900373e-33,9.15895819310159e-30,0,0,0,0,0
1380,0,4.43966037624179e-38,1.88647614325459e-34,6.60792265307744e-31,0,0,0,0,0
1410,0,2.98985430703531e-39,1.31091461003251e-35,4.73956347669766e-32,0,0,0,0,0
1440,0,2.00586513131753e-40,9.06718711310599e-37,3.38068054606893e-33,0,0,0,0,0
1470,0,1.34089018547239e-41,6.24386438798284e-38,2.39877575680613e-34,0,0,0,0,0
1500,0,8.93318089699417e-43,4.28170341813055e-39,1.69360721828957e-35,0,0,0,0,0
1530,0,5.93220397346919e-44,2.92451693649401e-40,1.19009724354791e-36,0,0,0,0,0
1560,0,3.92729173694371e-45,1.98999371683266e-41,8.32530723323787e-38,0,0,0,0,0
1590,0,2.59240305983297e-46,1.34923876431106e-42,5.79909744328872e-39,0,0,0,0,0
1620,0,1.70649398818852e-47,9.11673859035845e-44,4.0230055851806e-40,0,0,0,0,0
1650,0,1.12035678959405e-48,6.14006291629931e-45,2.78005139667784e-41,0,0,0,0,0
1680,0,7.33685598784676e-50,4.12242946294826e-46,1.91400665210014e-42,0,0,0,0,0
1710,0,4.79308304073245e-51,2.75956747072385e-47,1.31308853981402e-43,0,0,0,0,0
1740,0,3.12404531858156e-52,1.84201266133921e-48,8.97783284271574e-45,0,0,0,0,0
1770,0,2.03170340946741e-53,1.22619891711207e-49,6.11841276031665e-46,0,0,0,0,0
1800,0,1.31851306627018e-54,8.14133520923499e-51,4.15675820113169e-47,0,0,0,0,0
1830,0,8.53940846899552e-56,5.39191968987037e-52,2.81562576229477e-48,0,0,0,0,0
1860,0,5.51983595947714e-57,3.56244512577779e-53,1.90174137734978e-49,0,0,0,0,0
1890,0,3.56133894744124e-58,2.34828775148678e-54,1.28095390322337e-50,0,0,0,0,0
1920,0,2.29361746702132e-59,1.54451387842349e-55,8.60532814578231e-52,0,0,0,0,0
1950,0,1.47461687495414e-60,1.01369315876363e-56,5.7662974151071e-53,0,0,0,0,0
1980,0,9.46490540136274e-62,6.6394210523152e-58,3.85446126865715e-54,0,0,0,0,0
